,Unnamed: 0,publicacion_id,numeroReacciones,comentarios_procesado,sector,fecha,clasificacion,encoding
0,0,publicacion 450,34,Hasta cuando Pachinche Adentro de Portoviejo sin señal móvil ,telecomunicacion,2024-07-06,Neutral,1
1,3,publicacion 135,395,Excelente noticia,telecomunicacion,2024-07-05,Positive,2
2,3,publicacion 135,395,Excelente es una gran iniciativa para fomentar la inclusión y diversidad en el campo de la ciberseguridad #elnuevoecuadorresuelve,telecomunicacion,2024-07-05,Positive,2
3,3,publicacion 135,395,Felicitaciones es un excelente curso para mejorar las  habilidades  en ciberseguridad estamos al servicio de la comunidad Puntos Digitales Gratuitos ven e inscribete .,telecomunicacion,2024-07-05,Positive,2
4,3,publicacion 135,395,¡Qué gran oportunidad! Únete a SheSecures y ayúdanos a cerrar la brecha de género en ciberseguridad.  Desarrolla tus habilidades técnicas y empodérate.  #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-05,Positive,2
5,3,publicacion 135,395,"Excelente curso para mejorar habilidades en CIBERSEGURIDAD, puede acercarse a los Puntos Digitales Gratuitos para acceder a la capacitación",telecomunicacion,2024-07-05,Positive,2
6,3,publicacion 135,395,Excelente iniciativa,telecomunicacion,2024-07-05,Positive,2
7,3,publicacion 135,395,estupendo exceletes oportunidades para todos. #ElNuevoEcuadorResuelve,telecomunicacion,2024-07-05,Positive,2
8,3,publicacion 135,395,Seguimos avanzando.,telecomunicacion,2024-07-05,Neutral,1
9,3,publicacion 135,395,Excelentes oportunidades para todos ,telecomunicacion,2024-07-05,Positive,2
10,3,publicacion 135,395,"Excelente curso para mejorar habilidades en CIBERSEGURIDAD,",telecomunicacion,2024-07-05,Positive,2
11,3,publicacion 135,395,Excelente ,telecomunicacion,2024-07-05,Positive,2
12,3,publicacion 135,395,EL NUEVO ECUADOR ,telecomunicacion,2024-07-05,Neutral,1
13,3,publicacion 135,395,"Excelente, felicitaciones por la iniciativa",telecomunicacion,2024-07-05,Positive,2
14,3,publicacion 135,395,Seguimos avanzando.,telecomunicacion,2024-07-05,Neutral,1
15,3,publicacion 135,395,Excelente noticia ,telecomunicacion,2024-07-05,Positive,2
16,3,publicacion 135,395,Excelente ,telecomunicacion,2024-07-05,Positive,2
17,3,publicacion 135,395,Excelente,telecomunicacion,2024-07-05,Positive,2
18,3,publicacion 135,395,Excelente noticia para la ciudadanía en general recordar que  en los Puntos Digitales Gratuitos pueden acceder a la capacitación,telecomunicacion,2024-07-05,Positive,2
19,3,publicacion 135,395,EXCELENTE,telecomunicacion,2024-07-05,Positive,2
20,3,publicacion 135,395,EXCELENTE...,telecomunicacion,2024-07-05,Positive,2
21,3,publicacion 135,395,Excelentes oportunidades para todos ,telecomunicacion,2024-07-05,Positive,2
22,3,publicacion 135,395,Contribuyendo al avance en la educación!,telecomunicacion,2024-07-05,Neutral,1
27,3,publicacion 135,395,Excelente noticia,telecomunicacion,2024-07-05,Positive,2
34,3,publicacion 135,395,Exelente,telecomunicacion,2024-07-05,Positive,2
35,3,publicacion 135,395,EXCELENTES NOTICIAS,telecomunicacion,2024-07-05,Positive,2
36,3,publicacion 135,395,exelente,telecomunicacion,2024-07-05,Positive,2
40,4,publicacion 223,274,"Muy buen trabajo, es importante compartir ideas y experiencias",telecomunicacion,2024-07-06,Positive,2
41,4,publicacion 223,274,Excelente,telecomunicacion,2024-07-06,Positive,2
42,4,publicacion 223,274,MUY BIEN SIGAN ADELANTE...,telecomunicacion,2024-07-06,Positive,2
43,4,publicacion 223,274,Excelente trabajo ,telecomunicacion,2024-07-06,Positive,2
44,4,publicacion 223,274,Excelentes noticias,telecomunicacion,2024-07-06,Positive,2
45,4,publicacion 223,274,Excelente ,telecomunicacion,2024-07-06,Positive,2
46,4,publicacion 223,274,Excelente!!,telecomunicacion,2024-07-06,Positive,2
47,4,publicacion 223,274,Excelente gestión ,telecomunicacion,2024-07-06,Positive,2
48,4,publicacion 223,274, EXCELENTE,telecomunicacion,2024-07-06,Positive,2
49,4,publicacion 223,274,Exelente,telecomunicacion,2024-07-06,Positive,2
50,4,publicacion 223,274,EXELENTE TRABAJO,telecomunicacion,2024-07-06,Positive,2
51,4,publicacion 223,274,Excelente trabajo señor Ministro ,telecomunicacion,2024-07-06,Positive,2
52,4,publicacion 223,274,Estrechando lazos de cooperación,telecomunicacion,2024-07-06,Positive,2
53,4,publicacion 223,274,Excelente ,telecomunicacion,2024-07-06,Positive,2
54,4,publicacion 223,274,Excelente ,telecomunicacion,2024-07-06,Positive,2
57,4,publicacion 223,274,Exelente,telecomunicacion,2024-07-06,Positive,2
59,4,publicacion 223,274,Excelente ,telecomunicacion,2024-07-06,Positive,2
68,4,publicacion 223,274,BUEN TRABAJO POR UN NUEVO ECUADRO,telecomunicacion,2024-07-06,Positive,2
69,5,publicacion 224,57,"Que alegría que estrechen lazos de amistad por lo menos con un país, que disfruten el paseo, hay claro es con gastos pagados y no preciso con el dinero de cada uno ",telecomunicacion,2024-07-06,Positive,2
